customer_id,full_name,age,gender,email,phone_number,country,zip_code,signup_date,last_purchase_date,product_category,purchase_amount,annual_salary,satisfaction_rating,is_subscribed,notes,loyalty_points,is_valid_email
1304,Ernest Holden,89,Non-binary,ernest.holden@hotmail.com,12606029084,Germany,55460,2024-01-16,2018-12-09,Clothing,121.42,68242.61,2.0,No,Though Red Them Return Finish General.,,True
1499,Heidi Moran,56,Female,heidi.moran@yahoo.com,8761124912,France,48534,2024-08-20,2024-08-31,Electronics,398.38,31042.44,1.0,No,See Attached File!!!,,True
1441,John Lowery,40,Non-binary,john.lowery@yahoo.com,4005643502,United States Of America,27270,,2022-02-24,Home & Garden,451.41,52152.41,2.0,No,-,200.5,True
1153,Steven Friedman,33,Male,steven.friedman@company.com,Not Provided,United Kingdom,35668,2021-08-18,2024-03-21,Clothing,229.77,59549.2,3.0,No,-,,True
1188,Logan Sullivan,43,Non-binary,logan.sullivan@company.com,1125355449,France,84995,2022-04-24,2022-01-10,Toys,269.64,61823.04,2.0,Yes,Even Know Television Guy Only Whole.,100.0,True
1131,Rachel Walker,46,Male,rachel.walker@gmail.com,9264422096,France,74882,2025-01-10,2025-01-31,Clothing,278.04,70820.64,2.0,No,-,200.5,True
1204,Deborah Ross,60,Male,deborah.ross@company.com,6227837693,Not Provided,74054,,2018-11-01,Books,334.63,24703.06,,Yes,Interest Give Fly Order Agency Fight.,100.0,True
1166,Brendan Bonilla,57,Not Provided,brendan.bonilla@company.com,Not Provided,South Africa,71014,2022-06-03,2018-06-07,Clothing,200.83,41399.51,,Yes,Stock These Scientist Itself Stage Authority Rather.,,True
1325,Joseph Matthews,14,Male,joseph.matthews@gmail.com,1109193928,Germany,34092,2018-12-27,2024-01-11,Electronics,473.84,67592.58,3.0,Yes,-,150.0,True
1247,Jennifer Aguirre,43,Male,jennifer.aguirre@yahoo.com,7232487632,United Kingdom,80525,2023-06-26,,Toys,66.09,40693.93,1.0,No,Physical Site Girl Above.,100.0,True
1465,James Gutierrez,36,Male,james.gutierrez@yahoo.com,Not Provided,South Africa,72977,2019-09-14,,Electronics,371.53,35701.53,2.0,No,Social Amount Executive Agency Place Read.,150.0,True
1353,Not Provided,68,Male,latoya@company.com,6984775965,South Africa,49100,2022-01-22,2020-09-14,Home & Garden,42.84,34879.65,2.0,Yes,-,,True
1289,Carl Savage,41,Female,carl.savage@gmail.com,4564494856,United States Of America,22125,,2022-10-03,Books,340.0,,1.0,Yes,-,,True
1084,Zachary Michael,5,Not Provided,zachary.michael@gmail.com,1704622656,United Kingdom,59291,2024-08-05,2019-11-11,Electronics,268.48,50606.56,5.0,Not Provided,-,200.5,True
