customer_id,full_name,age,gender,email,phone_number,country,zip_code,signup_date,last_purchase_date,product_category,purchase_amount,annual_salary,satisfaction_rating,is_subscribed,notes,loyalty_points
1304,Ernest Holden,89.0,Non-binary,ernest.holden@hotmail.com,+1-260-602-9084,Germany,55460,2024/01/16,2018/12/09,Clothing,121.42 USD,"$68,242.61",2.0,No,Though red them return finish general.,N/A
1499,heidi moran,56.0,Female,heidi.moran@yahoo.com,876.112.4912,France,48534,2024/08/20,2024/08/31,ELECTRONICS,398.38,31042.44,1.0,no,See attached file!!!,
1441,john lowery,40.0,Non-binary,john.lowery@yahoo.com,400.564.3502,United States of America,27270,,24 Feb 2022,Home & Garden,451.41,52152.41,2.0,N,   ,200.5
1153,  Steven Friedman  ,33.0,M,steven.friedman@company.com,unknown,UK,35668,"August 18, 2021",21/03/2024,clothing ,229.77,59549.2,3.0,0,   ,
1188,  Logan Sullivan  ,43.0,Non-binary,logan.sullivan@company.com,112-535-5449,france,84995,"April 24, 2022",01-10-2022,Toys,269.64,61823.04,2.0,1,Even know television guy only whole.,100
1131,Rachel Walker,46.0,m,rachel.walker@gmail.com,(926) 442-2096,france,74882,2025-01-10,2025-01-31,Clothing,278.04,70820.64,2.0,0,NULL,200.5
1204,Deborah Ross,60.0,Male,deborah.ross@company.com,6227837693,,74054,N/A,11/01/2018,Books,334.63,24703.06,,Y,INTEREST GIVE FLY ORDER AGENCY FIGHT.,100
1166,brendan bonilla,57.0,,brendan.bonilla@company.com,unknown,S. Africa,71014,2022/06/03,2018/06/07,Clothing,200.83,41399.51,,Y,STOCK THESE SCIENTIST ITSELF STAGE AUTHORITY RATHER.,-
1325,  Joseph Matthews  ,14.0,M,joseph.matthews@gmail.com,110.919.3928,Germany,34092,27/12/2018,2024-01-11,Electronics,473.84 USD,67592.58,3.0,yes,,150
1247,Jennifer Aguirre,43.0,M,JENNIFER.AGUIRRE@YAHOO.COM,723-248-7632,UK,80525,26 Jun 2023,,Toys,66.09,40693.93,1.0,No,PHYSICAL SITE GIRL ABOVE.,100
1465,  James Gutierrez  ,36.0,m,james.gutierrez@yahoo.com,unknown,RSA,72977,2019-09-14,N/A,ELECTRONICS,371.53,"$35,701.53",2.0,no,SOCIAL AMOUNT EXECUTIVE AGENCY PLACE READ.,150
1353,,68.0,M,latoya@company.com,(698) 477-5965,south africa,49100,22/01/2022,14 Sep 2020,Home & Garden,42.84,34879.65,2.0,1,   ,-
1289,  Carl Savage  ,41.0,F,carl.savage@gmail.com,456-449-4856,U.S.,22125,N/A,"October 03, 2022",books,340.0,,1.0,true,,-
1084,  Zachary Michael  ,5.0,,zachary.michael@gmail.com,(170) 462-2656,United Kingdom,59291,"August 05, 2024",2019/11/11,Electronics,268.48,50606.56,5.0,,N/A,200.5
1010,michael cross,71.0,Non-binary,michael.cross at gmail.com,unknown,USA,73346,2024/07/13,06-13-2018,books,206.16,45731.65,2.0,true,Choice father why often my security arm.,100
1324,amy lang,76.0,Non-binary,amy.lang@gmail.com,049-611-0804,germany,50499,2022-07-08,2018-03-08,clothing ,378.08,71257.24,4.0,false,N/A,200.5
1078,Raymond Thomas,27.0,,raymond.thomas@gmail.com,+1-041-574-7338,United States of America,36038,09-18-2020,30 Oct 2018,books,-435.47,2605.1,5.0,,N/A,
1030,,57.0,f,edward@hotmail.com,9413186999,United Kingdom,30082,2023-06-03,2021-04-24,,390.26,42965.87,2.0,0,,
